,JPY/USD
2015/3/2,120.07
2015/3/3,119.5
2015/3/4,119.73
2015/3/5,120.25
2015/3/6,120.96
2015/3/9,121.13
2015/3/10,121.24
2015/3/11,121.56
2015/3/12,121.33
2015/3/13,121.13
2015/3/16,121.34
2015/3/17,121.26
2015/3/18,120.94
2015/3/19,120.91
2015/3/20,120.3
2015/3/23,119.77
2015/3/24,119.95
2015/3/25,119.4
2015/3/26,119
2015/3/27,119.13
2015/3/30,120.16
2015/3/31,119.99
2015/4/1,119.66
2015/4/2,119.74
2015/4/6,119.04
2015/4/7,120.42
2015/4/8,119.92
2015/4/9,120.27
2015/4/10,120.3
2015/4/13,120.36
2015/4/14,119.29
2015/4/15,119.26
2015/4/16,119.2
2015/4/17,119.08
2015/4/20,119.3
2015/4/21,119.4
2015/4/22,119.86
2015/4/23,119.67
2015/4/24,118.92
2015/4/27,119.14
2015/4/28,118.78
2015/4/29,118.83
2015/4/30,119.87
2015/5/1,120.24
2015/5/4,120.27
2015/5/5,119.92
2015/5/6,119.37
2015/5/7,119.71
2015/5/8,119.8
2015/5/11,120.09
2015/5/12,119.75
2015/5/13,119.03
2015/5/14,119.2
2015/5/15,119.38
2015/5/19,120.54
2015/5/20,121.27
2015/5/21,121.04
2015/5/22,121.42
2015/5/25,121.46
2015/5/26,123.07
2015/5/27,123.74
2015/5/28,124.15
2015/5/29,124.03
2015/6/1,124.63
2015/6/2,124.23
2015/6/3,124.11
2015/6/4,124.52
2015/6/5,125.59
2015/6/8,125.09
2015/6/9,124.16
2015/6/10,122.72
2015/6/11,123.63
2015/6/12,123.25
2015/6/15,123.39
2015/6/16,123.4
2015/6/17,124.25
2015/6/18,122.86
2015/6/19,122.67
2015/6/22,123.27
2015/6/23,123.72
2015/6/24,124.24
2015/6/25,123.64
2015/6/26,123.92
2015/6/29,122.47
2015/6/30,122.17
2015/7/2,123.2
2015/7/3,122.64
2015/7/6,122.58
2015/7/7,122.15
2015/7/8,120.59
2015/7/9,121.23
2015/7/10,122.73
2015/7/13,123.3
2015/7/14,123.41
2015/7/15,123.92
2015/7/16,124.06
2015/7/17,124.03
2015/7/20,124.23
2015/7/21,123.91
2015/7/22,124.06
2015/7/23,123.86
2015/7/24,123.79
2015/7/27,123.19
2015/7/28,123.53
2015/7/29,123.85
2015/7/30,124.41
2015/7/31,123.9
2015/8/4,124.05
2015/8/5,124.84
2015/8/6,124.55
2015/8/7,124.26
2015/8/10,124.58
2015/8/11,124.86
2015/8/12,123.91
2015/8/13,124.32
2015/8/14,124.32
2015/8/17,124.32
2015/8/18,124.39
2015/8/19,124.08
2015/8/20,123.51
2015/8/21,122.09
2015/8/24,118.72
2015/8/25,119.89
2015/8/26,119.1
2015/8/27,120.96
2015/8/28,121.29
2015/8/31,121.31
2015/9/1,119.92
2015/9/2,120.03
2015/9/3,120.21
2015/9/4,119.04
2015/9/8,119.74
2015/9/9,120.98
2015/9/10,120.72
2015/9/11,120.69
2015/9/14,119.87
2015/9/15,120.35
2015/9/16,120.57
2015/9/17,120.86
2015/9/18,119.84
2015/9/21,120.45
2015/9/22,120.05
2015/9/23,120.06
2015/9/24,119.53
2015/9/25,120.7
2015/9/28,119.83
2015/9/29,119.76
2015/9/30,119.8
2015/10/1,119.62
2015/10/2,119.37
2015/10/5,120.38
2015/10/6,120.22
2015/10/7,119.93
2015/10/8,119.98
2015/10/9,120.32
2015/10/13,119.8
2015/10/14,119.21
2015/10/15,118.28
2015/10/16,119.64
2015/10/19,119.47
2015/10/20,119.8
2015/10/21,119.89
2015/10/22,120.52
2015/10/23,121.18
2015/10/26,120.83
2015/10/27,120.26
2015/10/28,120.62
2015/10/29,121.16
2015/10/30,120.69
2015/11/2,120.69
2015/11/3,121.24
2015/11/4,121.55
2015/11/5,121.69
2015/11/6,123.22
2015/11/9,123.03
2015/11/10,123.22
2015/11/12,122.87
2015/11/13,122.88
2015/11/16,123.07
2015/11/17,123.48
2015/11/18,123.52
2015/11/19,122.73
2015/11/20,122.82
2015/11/23,122.99
2015/11/24,122.43
2015/11/25,122.7
2015/11/26,122.58
2015/11/27,122.79
2015/11/30,123.23
2015/12/1,122.9
2015/12/2,123.47
2015/12/3,123.11
2015/12/4,123.07
2015/12/7,123.36
2015/12/8,123.01
2015/12/9,121.82
2015/12/10,121.42
2015/12/11,120.99
2015/12/14,120.57
2015/12/15,121.7
2015/12/16,121.84
2015/12/17,122.76
2015/12/18,121.24
2015/12/21,121.02
2015/12/22,120.91
2015/12/23,120.94
2015/12/24,120.29
2015/12/29,120.43
2015/12/30,120.63
2015/12/31,120.24
2016/1/4,119.29
2016/1/5,118.99
2016/1/6,118.55
2016/1/7,117.96
2016/1/8,117.73
2016/1/11,117.49
2016/1/12,117.82
2016/1/13,118.03
2016/1/14,118
2016/1/15,116.78
2016/1/18,117.37
2016/1/19,117.71
2016/1/20,116.43
2016/1/21,117.61
2016/1/22,118.42
2016/1/25,118.57
2016/1/26,118.47
2016/1/27,118.91
2016/1/28,118.66
2016/1/29,121.07
2016/2/1,121.05
2016/2/2,120.31
2016/2/3,117.94
2016/2/4,116.72
2016/2/5,117
2016/2/8,115.72
2016/2/9,114.88
2016/2/10,114.02
2016/2/11,111.71
2016/2/12,112.94
2016/2/16,113.89
2016/2/17,114.13
2016/2/18,113.68
2016/2/19,112.48
2016/2/22,113.1
2016/2/23,112.22
2016/2/24,111.38
2016/2/25,112.66
2016/2/26,113.74
2016/2/29,112.88
2016/3/1,113.91
2016/3/2,113.85
2016/3/3,113.52
2016/3/4,113.89
2016/3/7,113.59
2016/3/8,112.61
2016/3/9,113.03
2016/3/10,113.14
2016/3/11,113.63
2016/3/14,113.62
2016/3/15,112.83
2016/3/16,113.72
2016/3/17,111.26
2016/3/18,111.43
2016/3/21,111.61
2016/3/22,111.83
2016/3/23,112.65
2016/3/24,112.64
2016/3/28,113.26
2016/3/29,113.3
2016/3/30,112.62
2016/3/31,112.4
2016/4/1,112.09
2016/4/4,111.23
2016/4/5,110.12
2016/4/6,109.61
2016/4/7,107.98
2016/4/8,108.38
2016/4/11,107.97
2016/4/12,108.56
2016/4/13,109.24
2016/4/14,109.15
2016/4/15,108.78
2016/4/18,108.88
2016/4/19,109.2
2016/4/20,109.51
2016/4/21,109.38
2016/4/22,111.47
2016/4/25,111.03
2016/4/26,111.23
2016/4/27,111.22
2016/4/28,108.51
2016/4/29,106.89
2016/5/2,106.52
2016/5/3,106.34
2016/5/4,107.1
2016/5/5,107.29
2016/5/6,106.7
2016/5/9,108.37
2016/5/10,109.27
2016/5/11,108.5
2016/5/12,108.78
2016/5/13,109.11
2016/5/16,108.93
2016/5/17,109.01
2016/5/18,109.65
2016/5/19,109.85
2016/5/20,110.57
2016/5/24,110.05
2016/5/25,110.28
2016/5/26,109.73
2016/5/27,109.82
2016/5/30,111.06
2016/5/31,110.74
2016/6/1,109.55
2016/6/2,108.73
2016/6/3,106.92
2016/6/6,107.31
2016/6/7,107.29
2016/6/8,106.68
2016/6/9,106.54
2016/6/10,107.03
2016/6/13,106.07
2016/6/14,106.07
2016/6/15,105.85
2016/6/16,104.08
2016/6/17,104.19
2016/6/20,104.29
2016/6/21,104.55
2016/6/22,104.57
2016/6/23,105.91
2016/6/24,102.31
2016/6/27,101.7
2016/6/28,102.75
2016/6/29,102.7
2016/6/30,102.76
2016/7/4,102.51
2016/7/5,101.56
2016/7/6,101.13
2016/7/7,100.73
2016/7/8,100.64
2016/7/11,102.63
2016/7/12,104.71
2016/7/13,104.14
2016/7/14,105.43
2016/7/15,105.66
2016/7/18,105.99
2016/7/19,106.1
2016/7/20,106.62
2016/7/21,105.98
2016/7/22,106.27
2016/7/25,106.05
2016/7/26,104.83
2016/7/27,105.68
2016/7/28,104.86
2016/7/29,102.36
2016/8/2,100.84
2016/8/3,101.32
2016/8/4,101.05
2016/8/5,101.78
2016/8/8,102.44
2016/8/9,101.92
2016/8/10,101.32
2016/8/11,101.46
2016/8/12,101.05
2016/8/15,101.03
2016/8/16,100.25
2016/8/17,100.27
2016/8/18,100.04
2016/8/19,100.22
2016/8/22,100.25
2016/8/23,100.25
2016/8/24,100.54
2016/8/25,100.6
2016/8/26,101.23
2016/8/29,102.11
2016/8/30,102.96
2016/8/31,103.42
2016/9/1,103.2
2016/9/2,104.16
2016/9/6,102.25
2016/9/7,101.7
2016/9/8,102.29
2016/9/9,102.87
2016/9/12,102
2016/9/13,102.15
2016/9/14,102.32
2016/9/15,102.22
2016/9/16,102.35
2016/9/19,101.86
2016/9/20,101.68
2016/9/21,100.66
2016/9/22,100.84
2016/9/23,101.04
2016/9/26,100.36
2016/9/27,100.36
2016/9/28,100.55
2016/9/29,101.48
2016/9/30,101.21
2016/10/3,101.52
2016/10/4,102.65
2016/10/5,103.52
2016/10/6,104.02
2016/10/7,103.45
2016/10/11,103.35
2016/10/12,104.46
2016/10/13,103.6
2016/10/14,104.09
2016/10/17,103.94
2016/10/18,103.84
2016/10/19,103.29
2016/10/20,103.92
2016/10/21,103.93
2016/10/24,104.19
2016/10/25,104.25
2016/10/26,104.46
2016/10/27,105.15
2016/10/28,105.39
2016/10/31,105.04
2016/11/1,104.61
2016/11/2,103.24
2016/11/3,103.13
2016/11/4,103.01
2016/11/7,104.64
2016/11/8,105.02
2016/11/9,104.83
2016/11/10,106.61
2016/11/14,108.31
2016/11/15,108.96
2016/11/16,109.16
2016/11/17,109.62
2016/11/18,110.54
2016/11/21,111.14
2016/11/22,111.02
2016/11/23,112.63
2016/11/24,113.34
2016/11/25,113.18
2016/11/28,112.33
2016/11/29,112.8
2016/11/30,114.36
2016/12/1,114.33
2016/12/2,113.76
2016/12/5,114.12
2016/12/6,114
2016/12/7,113.46
2016/12/8,114.17
2016/12/9,115.17
2016/12/12,115.36
2016/12/13,115.29
2016/12/14,115.11
2016/12/15,118.35
2016/12/16,117.72
2016/12/19,116.6
2016/12/20,117.87
2016/12/21,117.76
2016/12/22,117.52
2016/12/23,117.19
2016/12/28,117.67
2016/12/29,116.38
2016/12/30,116.76
2017/1/3,117.67
2017/1/4,117.43
2017/1/5,115.42
2017/1/6,116.85
2017/1/9,116.08
2017/1/10,115.76
2017/1/11,116.27
2017/1/12,113.88
2017/1/13,115.02
2017/1/16,114.06
2017/1/17,112.98
2017/1/18,113.4
2017/1/19,115.3
2017/1/20,115.09
2017/1/23,112.91
2017/1/24,113.67
2017/1/25,113.6
2017/1/26,114.75
2017/1/27,115.18
2017/1/30,113.85
2017/1/31,112.72
2017/2/1,113.32
2017/2/2,112.43
2017/2/3,112.39
2017/2/6,112.3
2017/2/7,112.16
2017/2/8,111.78
2017/2/9,113.28
2017/2/10,113.19
2017/2/13,113.76
2017/2/14,114.35
2017/2/15,114.17
